[BeGaze]
Converted from:	D:\Recorded Data\Experiment Data\EyeTrackMocapTest1\T-[82df3710-777d-459f-badf-b2f5e417ba82]\T-1-recording.idf
Date:	04.01.2016 17:52:00
Version:	BeGaze 3.5.101
Sample Rate:	30
Subject:	T
Saccade B,1,11,663075632,663141923,66291,209.81,348.23,273.68,338.20,3.08,90.15,0.50,46.47,2788.38,455.50,1621.94
Fixation B,1,12,663141923,663241722,99799,314.72,353.09,3,2,-1,121.33,87.50
Saccade B,1,12,663241722,663341676,99954,320.50,363.60,346.16,356.34,2.04,28.26,0.50,20.45,834.67,577.12,742.00
Fixation B,1,13,663341676,663408967,67291,343.01,364.44,0,5,-1,120.25,86.75
Blink B,1,5,663408967,663642041,233074
Fixation B,1,14,663674856,663907399,232543,216.37,403.02,5,13,-1,114.21,92.14
Saccade B,1,13,663974943,664041389,66446,413.79,-1827.41,590.54,671.00,220.55,3581.37,0.49,3319.20,205312.41,90190.02,147751.22
Fixation B,1,15,664041389,664173783,132394,697.39,812.19,48,40,-1,130.63,119.00
Saccade B,1,14,664173783,664240047,66264,673.16,801.21,749.83,736.82,4.63,139.67,0.50,69.84,4227.07,685.98,2456.52
Fixation B,1,16,664240047,664373126,133079,717.51,737.43,29,15,-1,127.50,111.50
Saccade B,1,15,664373126,664506264,133138,694.42,754.39,471.94,979.32,15.59,38.03,0.50,117.07,14404.09,328.73,5856.93
Fixation B,1,17,664506264,664574109,67845,475.62,978.34,7,1,-1,127.50,128.25
Saccade B,1,16,664574109,664639788,65679,479.30,977.38,400.21,1012.67,4.11,125.05,0.49,62.54,3916.93,305.42,2111.17
Fixation B,1,18,664639788,664705839,66051,379.25,944.07,32,48,-1,93.00,96.00
Saccade B,1,17,664705839,664772360,66521,438.61,923.90,419.40,846.06,5.71,111.16,0.50,85.82,4299.62,2261.82,3280.72
Fixation B,1,19,664905554,665005822,100268,977.91,921.23,4,21,-1,118.33,119.67
Saccade B,1,18,665005822,665138867,133045,965.52,883.23,921.85,877.10,10.44,161.08,0.50,78.44,5297.06,1234.66,3743.58
Fixation B,1,20,665271935,665372005,100070,427.25,801.72,19,57,-1,132.00,130.67
Fixation B,1,21,665571204,665671065,99861,902.39,675.72,42,102,-1,126.50,115.67
Saccade B,1,19,665671065,665804367,133302,855.29,695.10,1077.44,507.54,13.69,123.03,0.49,102.68,10091.62,1404.49,5918.41
Saccade B,1,20,665870524,666003615,133091,1118.42,479.62,1293.62,329.61,23.32,490.76,0.50,175.23,15369.12,1396.69,7170.74
Saccade B,1,21,666036812,666103588,66776,1285.89,355.32,1191.00,427.98,6.76,165.11,0.50,101.19,4095.22,2415.02,3255.12
Saccade B,1,22,666136739,666269875,133136,1072.04,513.60,908.48,632.99,11.71,121.87,0.50,87.96,3718.82,1025.14,2438.63
Fixation B,1,22,666303334,666636174,332840,816.40,537.66,93,67,-1,134.75,106.90
Blink B,1,6,666636174,667201608,565434
Fixation B,1,23,667201608,667334945,133337,733.99,658.18,30,15,-1,137.25,116.25
Blink B,1,7,667334945,667933931,598986
Fixation B,1,24,667968073,668399425,431352,601.87,598.60,40,15,-1,127.88,107.50
Blink B,1,8,668399425,668798643,399218
Fixation B,1,25,668798643,669131338,332695,788.58,631.09,303,111,-1,127.60,106.25
Saccade B,1,23,669131338,669198042,66704,664.81,584.54,659.43,563.03,1.14,30.43,0.50,17.04,881.72,610.82,746.27
Fixation B,1,26,669198042,669663955,465913,678.70,576.40,84,33,-1,124.82,98.36
Blink B,1,9,669663955,670063539,399584
Fixation B,1,27,670096608,670562296,465688,623.69,590.01,31,27,-1,124.32,100.86
Blink B,1,10,670562296,670795484,233188
Fixation B,1,28,670828452,671360883,532431,771.45,597.12,312,32,-1,125.06,101.78
Blink B,1,11,671360883,671660443,299560
Fixation B,1,29,671693644,672392502,698858,754.66,635.62,401,119,-1,119.43,100.05
Saccade B,1,24,672392502,672458921,66419,662.48,614.23,665.27,607.29,0.52,10.28,0.50,7.84,447.71,121.21,284.46
Fixation B,1,30,672458921,672625519,166598,677.56,608.96,17,5,-1,111.20,89.20
Blink B,1,12,672625519,673191438,565919
Fixation B,1,31,673191438,673324605,133167,418.29,455.30,59,10,-1,111.38,85.75
Saccade B,1,25,673324605,673390791,66186,450.71,449.22,423.07,444.80,1.56,38.84,0.50,23.54,1402.50,243.97,823.24
Fixation B,1,32,673390791,673989935,599144,424.43,438.20,19,17,-1,111.92,85.56
Blink B,1,13,674023855,674388905,365050
Fixation B,1,33,674422138,674655200,233062,1018.18,658.74,244,54,-1,105.14,94.00
Saccade B,1,26,674655200,674722237,67037,895.62,701.94,818.31,683.19,4.87,109.01,0.50,72.65,2552.88,160.89,1356.89
Fixation B,1,34,674722237,674855012,132775,787.05,696.86,29,10,-1,114.50,95.00
Saccade B,1,27,674855012,674921259,66247,774.35,644.89,758.17,718.96,6.10,104.09,0.51,92.12,5461.24,2501.37,3981.30
Fixation B,1,35,674921259,675021889,100630,743.09,730.14,14,12,-1,118.67,102.00
Saccade B,1,28,675021889,675087635,65746,728.55,752.76,725.99,728.97,1.89,33.83,0.50,28.68,1710.11,383.11,1046.61
Fixation B,1,36,675087635,675587101,499466,675.38,746.12,70,66,-1,119.97,102.97
Saccade B,1,29,675587101,675720009,132908,645.33,670.41,620.52,589.14,5.12,54.48,0.50,38.54,983.53,60.83,451.70
Fixation B,1,37,675720009,676152507,432498,608.27,470.63,27,161,-1,114.15,85.38
Saccade B,1,30,676152507,676252355,99848,593.09,394.65,589.24,370.94,1.68,19.62,0.50,16.85,573.94,444.62,507.49
Fixation B,1,38,676252355,676551935,299580,594.64,341.43,14,29,-1,115.50,80.00
Saccade B,1,31,676551935,676618660,66725,601.62,324.20,608.67,321.18,0.62,10.44,0.51,9.31,359.60,341.39,350.50
Blink B,1,14,676651646,676951516,299870
Blink B,1,15,676984518,677284441,299923
Fixation B,1,39,677284441,677317877,33436,634.03,391.85,0,2,-1,116.25,83.00
