keyFrameIndex,keyFrameIndexRoot,keyFrameIndexBone#Bone_Hips,keyFrameIndexBone#Bone_SpineA,keyFrameIndexBone#Bone_SpineB,keyFrameIndexBone#Bone_SpineC,keyFrameIndexBone#Bone_Neck,keyFrameIndexBone#Bone_Head,keyFrameIndexBone#Bone_Eye_L,keyFrameIndexBone#Bone_Eye2_R 1,keyFrameIndexBone#srfBind_Lf_Eye,keyFrameIndexBone#Bone_Eye_R,keyFrameIndexBone#Bone_Eye2_R,keyFrameIndexBone#srfBind_Rt_Eye,keyFrameIndexBone#Bone_Shoulder_L,keyFrameIndexBone#Bone_UpperArm_L,keyFrameIndexBone#Bone_Forearm_L,keyFrameIndexBone#Bone_Hand_L,keyFrameIndexBone#Bone_Fingers_L,keyFrameIndexBone#Bone_Thumb_L,keyFrameIndexBone#Bone_Shoulder_R,keyFrameIndexBone#Bone_UpperArm_R,keyFrameIndexBone#Bone_Forearm_R,keyFrameIndexBone#Bone_Hand_R,keyFrameIndexBone#Bone_Fingers_R,keyFrameIndexBone#Bone_Thumb_R,keyFrameIndexBone#Bone_UpperLeg_L,keyFrameIndexBone#Bone_LowerLeg_L,keyFrameIndexBone#Bone_Foot_L,keyFrameIndexBone#Bone_Toes_L,keyFrameIndexBone#Bone_FootNub_L,keyFrameIndexBone#Bone_UpperLeg_R,keyFrameIndexBone#Bone_LowerLeg_R,keyFrameIndexBone#Bone_Foot_R,keyFrameIndexBone#Bone_Toes_R,keyFrameIndexBone#Bone_FootNub_R
293,292,292,297,299,298,293,293,298,293,293,298,293,293,293,293,290,299,293,293,292,295,293,295,293,293,287,291,292,293,293,291,292,297,293,293
305,304,305,310,310,310,307,307,304,305,305,304,305,305,307,304,305,304,305,305,308,303,303,303,305,305,306,308,307,305,305,304,306,311,305,305
319,315,319,320,319,319,319,319,319,319,319,319,319,319,315,313,313,313,319,319,315,315,315,315,319,319,314,316,321,322,319,322,319,319,319,319
332,331,335,335,333,333,331,331,332,332,332,332,332,332,328,336,336,332,332,332,331,332,332,332,332,332,332,329,331,331,332,332,333,329,332,332
341,341,346,348,348,341,338,338,340,341,341,340,341,341,342,342,342,338,341,341,338,340,338,337,341,341,341,341,340,342,341,341,342,343,341,341
359,352,354,354,359,359,353,353,365,359,359,365,359,359,360,363,363,363,359,359,354,352,357,358,359,359,359,361,362,361,359,354,355,354,359,359
374,374,379,369,378,378,374,374,379,374,374,379,374,374,368,367,367,367,374,374,375,374,380,374,374,374,370,369,369,374,374,378,379,378,374,374
388,392,393,384,387,388,388,388,388,388,388,388,388,388,385,386,386,394,388,388,392,391,386,390,388,388,383,388,392,388,388,395,384,392,388,388
409,415,409,404,403,403,408,409,409,409,409,409,409,409,406,411,411,411,409,409,403,413,412,408,409,409,409,407,405,408,409,413,408,413,409,409
422,422,417,421,429,429,422,422,423,422,422,423,422,422,427,423,423,423,422,422,420,423,423,422,422,422,420,427,419,416,422,416,423,429,422,422
439,437,439,435,438,438,440,440,444,439,439,444,439,439,436,443,443,443,439,439,434,439,439,444,439,439,439,444,433,435,439,438,437,437,439,439
449,446,448,446,447,447,449,449,444,449,449,444,449,449,448,451,449,451,449,449,449,450,450,450,449,449,449,444,446,449,449,445,449,446,449,449
458,460,457,454,458,458,458,458,456,458,458,456,458,458,458,455,455,456,458,458,455,460,458,460,458,458,460,460,460,454,458,457,460,463,458,458
477,475,478,473,473,475,473,473,476,477,477,476,477,477,474,477,477,477,477,477,474,476,476,476,477,477,475,481,470,477,477,472,474,478,477,477
487,485,485,484,490,488,483,483,493,487,487,493,487,487,484,488,488,488,487,487,484,486,486,486,487,487,489,491,484,490,487,493,491,491,487,487
500,495,495,504,500,500,499,499,500,500,500,500,500,500,496,499,495,495,500,500,497,502,505,502,500,500,505,505,495,500,500,499,501,496,500,500
510,510,508,515,507,507,510,510,510,510,510,510,510,510,510,508,515,515,510,510,515,517,515,516,510,510,511,512,510,513,510,508,517,507,510,510
526,527,525,533,520,519,533,533,529,526,526,529,526,526,532,533,533,533,526,526,531,529,524,529,526,526,523,526,525,531,526,521,523,525,526,526
546,546,546,545,546,546,545,545,551,546,546,551,546,546,542,539,540,540,546,546,545,546,545,550,546,546,548,546,548,546,546,539,546,550,546,546
557,557,557,554,556,556,557,557,557,557,557,557,557,557,559,559,555,556,557,557,555,558,558,559,557,557,553,557,553,557,557,554,554,554,557,557
565,563,565,562,564,565,566,566,568,565,565,568,565,565,566,565,568,568,565,565,562,572,562,569,565,565,564,572,564,566,565,564,563,567,565,565
579,582,574,579,579,579,578,578,579,579,579,579,579,579,579,572,582,576,579,579,581,583,574,583,579,579,576,572,576,579,579,577,579,577,579,579
587,588,592,588,587,587,586,586,588,587,587,588,587,587,594,589,593,588,587,587,587,590,590,583,587,587,583,587,583,585,587,588,591,590,587,587
604,602,605,602,605,605,602,602,599,604,604,599,604,604,601,604,604,604,604,604,597,604,604,604,604,604,603,604,605,601,604,603,601,605,604,604
615,613,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,615,614,616,615,615,615,615,615,615,615
629,628,630,631,631,631,636,636,631,629,629,631,629,629,633,629,629,629,629,629,626,629,629,629,629,629,633,633,627,634,629,635,631,624,629,629
648,649,646,643,642,642,649,649,648,648,648,648,648,648,642,648,648,648,648,648,641,648,648,648,648,648,647,651,646,648,648,647,655,647,648,648
668,669,668,669,668,668,672,672,668,668,668,668,668,668,668,668,668,668,668,668,665,668,668,668,668,668,667,671,670,670,668,663,661,661,668,668
676,679,679,676,676,676,683,683,675,676,676,675,676,676,682,676,676,676,676,676,676,676,676,676,676,676,679,676,678,676,676,676,676,679,676,676
691,690,692,691,690,690,695,695,691,691,691,691,691,691,690,691,691,691,691,691,693,691,691,691,691,691,691,691,691,686,691,694,697,693,691,691
719,712,721,716,723,724,717,717,720,719,719,720,719,719,725,719,719,719,719,719,716,719,719,719,719,719,721,718,718,722,719,721,720,719,719,719
731,730,733,727,731,731,732,736,734,731,731,734,731,731,725,731,731,731,731,731,729,731,731,731,731,731,729,726,731,733,731,729,731,736,731,731
741,742,747,738,741,741,742,742,746,741,741,746,741,741,740,741,741,741,741,741,745,741,741,741,741,741,736,741,741,739,741,741,747,736,741,741
753,753,759,751,758,760,753,753,753,753,753,753,753,753,756,753,753,753,753,753,755,753,753,753,753,753,759,753,759,752,753,752,760,756,753,753
770,770,770,771,771,771,769,769,770,770,770,770,770,770,770,770,770,770,770,770,769,770,770,770,770,770,770,770,770,770,770,769,768,767,770,770
778,777,778,782,779,779,777,777,780,778,778,780,778,778,776,778,778,778,778,778,777,778,778,778,778,778,780,778,781,778,778,778,781,777,778,778
792,793,789,794,794,794,792,792,797,792,792,797,792,792,792,792,792,792,792,792,790,792,792,792,792,792,791,792,791,797,792,789,792,785,792,792
805,806,804,805,805,805,803,803,805,805,805,805,805,805,805,805,805,805,805,805,803,805,805,805,805,805,803,809,809,811,805,804,805,805,805,805
821,823,818,825,820,820,820,820,815,821,821,815,821,821,822,821,821,821,821,821,821,821,821,821,821,821,827,823,828,818,821,824,822,825,821,821
849,849,850,848,849,849,850,850,849,849,849,849,849,849,842,849,849,849,849,849,847,849,849,849,849,849,842,849,843,851,849,843,845,843,849,849
857,859,857,857,857,857,857,863,857,857,857,857,857,857,860,857,857,857,857,857,857,857,857,857,857,857,855,857,857,856,857,859,857,855,857,857
879,879,872,884,885,884,874,874,879,879,879,879,879,879,882,879,879,879,879,879,882,879,879,879,879,879,880,876,879,879,879,878,879,879,879,879
893,890,891,896,897,896,893,896,888,893,893,888,893,893,895,893,893,893,893,893,893,893,893,893,893,893,893,893,893,895,893,898,894,898,893,893
903,900,910,907,907,907,903,903,903,903,903,903,903,903,903,903,903,903,903,903,909,903,903,903,903,903,907,902,909,905,903,898,903,905,903,903
921,917,920,923,922,922,921,921,921,921,921,921,921,921,916,921,921,921,921,921,920,921,921,921,921,921,921,921,922,921,921,921,925,920,921,921
930,929,930,927,930,930,936,936,932,930,930,932,930,930,926,930,930,930,930,930,928,930,930,930,930,930,930,930,930,926,930,928,931,928,930,930
942,942,941,945,940,941,945,945,949,942,942,949,942,942,947,942,942,942,942,942,947,942,942,942,942,942,941,942,941,942,942,940,946,946,942,942
961,961,962,954,967,967,959,959,968,961,961,968,961,961,956,961,961,961,961,961,954,961,961,961,961,961,955,962,961,964,961,962,960,956,961,961
979,979,978,979,978,978,981,981,979,979,979,979,979,979,979,979,979,979,979,979,980,979,979,979,979,979,979,983,980,976,979,974,977,973,979,979
990,990,990,988,990,991,995,995,986,990,990,986,990,990,986,990,990,990,990,990,987,990,990,990,990,990,990,989,989,988,990,992,997,991,990,990
1004,1003,997,1001,1002,1004,1006,1006,1004,1004,1004,1004,1004,1004,1008,1004,1004,1004,1004,1004,1003,1004,1004,1004,1004,1004,999,998,999,1004,1004,1001,997,997,1004,1004
1012,1009,1012,1014,1012,1012,1014,1015,1009,1012,1012,1009,1012,1012,1014,1012,1012,1012,1012,1012,1013,1012,1012,1012,1012,1012,1009,1014,1009,1012,1012,1012,1012,1012,1012,1012
1023,1030,1023,1030,1030,1030,1023,1023,1028,1023,1023,1028,1023,1023,1025,1023,1023,1023,1023,1023,1024,1023,1023,1023,1023,1023,1024,1021,1023,1030,1023,1020,1018,1019,1023,1023
1041,1040,1040,1036,1046,1046,1042,1042,1041,1041,1041,1041,1041,1041,1034,1041,1041,1041,1041,1041,1039,1041,1041,1041,1041,1041,1043,1042,1039,1040,1041,1034,1035,1043,1041,1041
1053,1052,1058,1052,1053,1053,1055,1055,1053,1053,1053,1053,1053,1053,1058,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1051,1053,1053,1053,1054,1051,1053,1053
1063,1065,1063,1070,1062,1062,1059,1060,1063,1063,1063,1063,1063,1063,1065,1063,1063,1063,1063,1063,1060,1063,1063,1063,1063,1063,1067,1067,1062,1059,1063,1066,1061,1065,1063,1063
1077,1079,1079,1076,1071,1071,1075,1075,1077,1077,1077,1077,1077,1077,1074,1077,1077,1077,1077,1077,1074,1077,1077,1077,1077,1077,1078,1077,1076,1073,1077,1075,1073,1079,1077,1077
1085,1086,1088,1086,1086,1086,1086,1085,1085,1085,1085,1085,1085,1085,1087,1085,1085,1085,1085,1085,1088,1085,1085,1085,1085,1085,1085,1085,1085,1084,1085,1089,1085,1089,1085,1085
1094,1094,1096,1094,1095,1095,1094,1094,1094,1094,1094,1094,1094,1094,1092,1094,1094,1094,1094,1094,1091,1094,1094,1094,1094,1094,1092,1093,1093,1094,1094,1095,1092,1094,1094,1094
